brief_id,model,language,clip_score
MB032,sd15,es,28.4022
MB032,flux,de,35.6794
MB032,flux,fr,35.3606
MB032,flux,es,32.3786
MB033,sd15,de,24.963
MB033,sd15,fr,29.633
MB033,sd15,es,32.2607
MB033,flux,de,34.3139
MB033,flux,fr,40.3246
MB033,flux,es,42.4889
MB034,sd15,de,31.5522
MB034,sd15,fr,30.2248
MB034,sd15,es,35.0277
MB034,flux,de,30.618
MB034,flux,fr,31.826
MB034,flux,es,35.3238
MB035,sd15,de,28.8587
MB035,sd15,fr,33.9732
MB035,sd15,es,31.2894
MB035,flux,de,33.0019
MB035,flux,fr,36.6499
MB035,flux,es,37.2392
MB036,sd15,de,29.4471
MB036,sd15,fr,32.1818
MB036,sd15,es,26.773
MB036,flux,de,30.0587
MB036,flux,fr,29.9849
MB036,flux,es,32.3804
MB037,sd15,de,30.8513
MB037,sd15,fr,26.6648
MB037,sd15,es,26.7457
MB037,flux,de,33.7171
MB037,flux,fr,35.4354
MB037,flux,es,20.0017
MB038,sd15,de,35.2143
MB038,sd15,fr,34.8504
MB038,sd15,es,32.4915
MB038,flux,de,29.815
MB038,flux,fr,26.4917
MB038,flux,es,39.6368
MB039,sd15,de,33.2453
MB039,sd15,fr,34.7326
MB039,sd15,es,31.1073
MB039,flux,de,33.4519
MB039,flux,fr,35.8235
MB039,flux,es,34.1128
MB040,sd15,de,23.4645
MB040,sd15,fr,30.3669
MB040,sd15,es,30.5561
MB040,flux,de,32.9789
MB040,flux,fr,37.8305
MB040,flux,es,34.6011
MB041,sd15,de,29.7218
MB041,sd15,fr,25.5568
MB041,sd15,es,35.5778
MB041,flux,de,37.7879
MB041,flux,fr,37.5807
MB041,flux,es,30.9783
MB042,sd15,de,26.6811
MB042,sd15,fr,25.9288
MB042,sd15,es,25.1608
MB042,flux,de,36.7882
MB042,flux,fr,30.588
MB042,flux,es,38.8568
MB043,sd15,de,30.3592
MB043,sd15,fr,34.5851
MB043,sd15,es,34.9081
MB043,flux,de,35.6251
MB043,flux,fr,37.8848
MB043,flux,es,35.1025
MB044,sd15,de,26.971
MB044,sd15,fr,27.1107
MB044,sd15,es,24.009
MB044,flux,de,35.5384
MB044,flux,fr,35.6368
MB044,flux,es,30.7652
MB045,sd15,de,34.3756
MB045,sd15,fr,33.8888
MB045,sd15,es,33.6805
MB045,flux,de,30.4984
MB045,flux,fr,34.3166
MB045,flux,es,35.6886
MB046,sd15,de,33.1036
MB046,sd15,fr,31.1254
MB046,sd15,es,30.3892
MB046,flux,de,35.0212
MB046,flux,fr,33.161
MB046,flux,es,37.9597
MB047,sd15,de,27.7779
