language,dimension,metric,n,spearman_rho,spearman_p,pearson_r,pearson_p
German,overall,cc_score,10,-0.09786344578900984,0.787962220655268,-0.011549130465549257,0.9747396465733007
German,fluency,cc_score,10,-0.269124475919777,0.4521082689602177,-0.36396360997081467,0.30117950105970975
German,semantic_fidelity,cc_score,10,0.29634711463065444,0.40573471920504456,0.19418076793506744,0.5908869377551907
German,overall,cometkiwi_score,10,0.2997068027288426,0.40017492597422644,0.24061731757665067,0.5030795528938151
German,fluency,cometkiwi_score,10,-0.18961042621620652,0.5998202354260892,-0.07882882851469769,0.8286294758582455
German,semantic_fidelity,cometkiwi_score,10,0.5926942292613089,0.07096393544559125,0.3483368633812504,0.32393471612621705
French,overall,cc_score,10,0.05539117094069973,0.8792028957062749,0.09256095150880211,0.7992487477802426
French,fluency,cc_score,10,0.3025210128521264,0.3955461179844162,0.32369848724828193,0.3615556732119045
French,semantic_fidelity,cc_score,10,-0.12290197355980541,0.735176183173989,-0.20962204454870753,0.5610753551884455
French,overall,cometkiwi_score,10,0.21541010921383227,0.5500532144244301,0.37079249126264774,0.2915102239711103
French,fluency,cometkiwi_score,10,0.08026067687913557,0.8255563888460676,0.14714019552000188,0.6850093105725439
French,semantic_fidelity,cometkiwi_score,10,0.4779521193992432,0.1623613573241007,0.5301430493325404,0.11495992868006853
Spanish,overall,cc_score,10,-0.29179466096643103,0.4133266028608583,-0.3739095075602343,0.2871527697594654
Spanish,fluency,cc_score,10,-0.5583242384172624,0.09346396626964013,-0.6129414099478292,0.05953451846028957
Spanish,semantic_fidelity,cc_score,10,0.04908344953118791,0.8928882547542831,0.009150496688261477,0.9799849644413017
Spanish,overall,cometkiwi_score,10,0.40121765882884264,0.2504960035253276,0.252880207064526,0.480862604905573
Spanish,fluency,cometkiwi_score,10,0.15952121097636068,0.6597923976289205,0.20999593803072444,0.5603607887447974
Spanish,semantic_fidelity,cometkiwi_score,10,0.3006361283785259,0.398643511478881,0.1983562650599176,0.5827684795589411
Arabic,overall,cc_score,10,-0.1036604636642477,0.7756636846367881,-0.14906379990100602,0.6810722901953294
Arabic,fluency,cc_score,10,-0.07362517429678185,0.8398151212437741,-0.13578010342743815,0.7083966286040939
Arabic,semantic_fidelity,cc_score,10,-0.07111590022187594,0.8452183544324907,-0.1491825812918096,0.6808294076554975
Arabic,overall,cometkiwi_score,10,0.40854418032379974,0.24112956358950702,0.37070248517484783,0.29163657162906814
Arabic,fluency,cometkiwi_score,10,0.3865321650581048,0.26986858257602425,0.33747215399110775,0.3402644930142541
Arabic,semantic_fidelity,cometkiwi_score,10,0.3685096647860845,0.2947238371255242,0.37119938334099123,0.2909394079630132
Pooled (all languages),overall,cc_score,40,0.10555749437186081,0.5168236532104385,0.09539084541033677,0.5582037250341337
Pooled (all languages),fluency,cc_score,40,0.025795675232804075,0.8744576105368839,0.03774947478973607,0.8171126231519069
Pooled (all languages),semantic_fidelity,cc_score,40,0.1559684623330753,0.33652700421320103,0.11770941169768427,0.469450461244021
Pooled (all languages),overall,cometkiwi_score,40,0.3715712578309717,0.01823947448552596,0.44175801661437064,0.004320583437526646
Pooled (all languages),fluency,cometkiwi_score,40,0.14958907052364,0.35690303463841977,0.22419865660665084,0.16429480874634772
Pooled (all languages),semantic_fidelity,cometkiwi_score,40,0.5473299910167382,0.0002572201191473286,0.5023333738519379,0.0009566259385795169
