config,label,sd15_mean,sd15_bca_lo,sd15_bca_hi,flux_mean,flux_bca_lo,flux_bca_hi,abs_gap_estimate,abs_gap_bca_lo,abs_gap_bca_hi,rel_gap_estimate,rel_gap_bca_lo,rel_gap_bca_hi,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_effect_size_r,n_pairs,wilcoxon_p_bonferroni
A_clip_baseline,Configuration A (CLIP-Score baseline),32.32608199999999,31.805008261905886,32.826102920032675,35.341398,34.838711400366556,35.88029655749986,3.0153160000000057,2.509805429850745,3.540522860367889,0.09327811517646978,0.07705238867680883,0.11036288059947258,951.0,9.580233705332088e-19,0.8320529801324503,150,3.832093482132835e-18
TIFA_baseline,TIFA Baseline,0.4653333333333332,0.428,0.5013333333333333,0.8306666666666667,0.8053333333333332,0.8546666666666666,0.36533333333333345,0.3253333333333332,0.4093333333333332,0.7851002865329517,0.6509186351706037,0.9444444444444439,188.0,3.736533466167488e-22,0.957804960161598,133,1.4946133864669952e-21
C_flat_dag,"Configuration C (flat DAG, no short-circuit)",0.40658066666666665,0.3752402890625572,0.44131298101143873,0.7526586666666666,0.7277945078946112,0.7758779586390909,0.34607799999999994,0.3072242478982797,0.3834543934716056,0.8511914814772303,0.7055228461964259,1.013928885369303,250.0,3.142667740100213e-24,0.9558498896247241,150,1.2570670960400852e-23
B_full_dag,"Configuration B (full DAG, short-circuit)",0.28319266666666665,0.2434718962598158,0.3288147772934079,0.6885853333333334,0.6442073372289414,0.727733374128975,0.40539266666666673,0.3483774367036576,0.46036027183263356,1.4315083488508415,1.0919204431014518,1.8533321805894445,434.0,7.779817558221339e-21,0.9120567375886525,140,3.1119270232885355e-20
