comparison,label,rel_gap_difference,bca_ci_low,bca_ci_high,significant_at_95
B_full_dag vs A_clip_baseline,"Configuration B (full DAG, short-circuit) vs Configuration A (CLIP-Score baseline)",1.3382302336743717,1.0036256666121555,1.755947038222367,True
B_full_dag vs TIFA_baseline,"Configuration B (full DAG, short-circuit) vs TIFA Baseline",0.6464080623178898,0.39829845078254467,0.9605936936957568,True
B_full_dag vs C_flat_dag,"Configuration B (full DAG, short-circuit) vs Configuration C (flat DAG, no short-circuit)",0.5803168673736112,0.3559583817303185,0.87842126031975,True
