hypothesis_family,metric,model,language,estimate,bca_ci_low,bca_ci_high
RQ2,cmmd,sd15,de,-0.009417533874511719,-0.11816153830796282,0.06949901580810547
RQ2,fid_stability_range,sd15,de,32.70207401806117,22.93793388238947,39.86187422540602
RQ2,cmmd,sd15,fr,-0.049948692321777344,-0.12254714965820312,0.03361701965332031
RQ2,fid_stability_range,sd15,fr,11.158099055645081,6.0321229054497945,18.24448676915313
RQ2,cmmd,sd15,es,-0.08666515350341797,-0.19870036704548727,-0.011324882507324219
RQ2,fid_stability_range,sd15,es,26.227635080767456,19.20853474233055,31.59781309210003
RQ2,cmmd,sd15,ar,1.9574165344238281,1.6644522936468114,2.149009586475725
RQ2,fid_stability_range,sd15,ar,139.8410086823332,133.5546849017082,153.92600259425032
RQ2,cmmd,flux,de,0.1100301742553711,-0.02327556812000703,0.20852065651565393
RQ2,fid_stability_range,flux,de,7.564497507298768,1.6248188992014,15.892716366152104
RQ2,cmmd,flux,fr,0.09751319885253906,0.020160414350405928,0.1850128173828125
RQ2,fid_stability_range,flux,fr,3.0726980316072314,-1.9760413156541252,7.180836987542597
RQ2,cmmd,flux,es,0.12326240539550781,-0.010028684538753958,0.23448467254638672
RQ2,fid_stability_range,flux,es,12.002919286178638,6.029284712882513,17.873160576486264
RQ2,cmmd,flux,ar,2.4956464767456055,1.898010466142721,3.0064057180765866
RQ2,fid_stability_range,flux,ar,131.21520912443233,117.6806310958445,139.98194878668076
RQ4,cmmd,sd15_vs_flux,de,-0.11944770812988281,-0.23642893890623312,0.002524207897727738
RQ4,cmmd,sd15_vs_flux,fr,-0.1474618911743164,-0.25522708892822266,-0.03743171691894531
RQ4,cmmd,sd15_vs_flux,es,-0.20992755889892578,-0.3578662872314453,-0.07295608520507812
RQ4,cmmd,sd15_vs_flux,ar,-0.5382299423217773,-1.056981774853626,-0.040027591995196996
