estimate,percentile_ci_low,percentile_ci_high,bca_ci_low,bca_ci_high,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_effect_size_r,n_pairs,hypothesis_family,model,metric,language,wilcoxon_p_bonferroni
3.9735824399999977,3.1262702769999953,4.874794120249994,3.161211063497819,4.899995943103326,381.0,1.6837927151593467e-13,0.8491089108910891,100.0,RQ2,sd15,clip_score,de,6.735170860637387e-13
3.05810447,2.3076335479999996,3.7996505970000034,2.3201932110186,3.811374064030568,608.0,4.3608373720483984e-11,0.7592079207920792,100.0,RQ2,sd15,clip_score,fr,1.7443349488193594e-10
3.8718630800000042,3.012456259500003,4.75508494975,3.0443006768826186,4.797031011705148,519.0,5.300777684835876e-12,0.7944554455445545,100.0,RQ2,sd15,clip_score,es,2.1203110739343503e-11
13.819696939999996,12.896298258999996,14.773524799000002,12.895523325521939,14.77215416859998,0.0,3.8965598450959084e-18,1.0,100.0,RQ2,sd15,clip_score,ar,1.5586239380383634e-17
0.03404753999999993,0.026424272750000012,0.04171464899999994,0.026622438461667574,0.04186811593358302,449.0,9.472454917086356e-13,0.8221782178217821,100.0,RQ2,sd15,mclip_score,de,3.7889819668345425e-12
0.024514339999999968,0.01707176275000003,0.03198617800000004,0.01713644551442773,0.03202520997541769,784.0,2.149011483752293e-09,0.6895049504950495,100.0,RQ2,sd15,mclip_score,fr,8.596045935009171e-09
0.03450842999999998,0.026096605500000047,0.043012154999999976,0.026377863576582235,0.04333140174403034,617.0,5.369106230090425e-11,0.7556435643564356,100.0,RQ2,sd15,mclip_score,es,2.14764249203617e-10
0.11346205999999998,0.10500280225000007,0.12185137950000002,0.10486043575284316,0.12169271213826147,0.0,3.8965598450959084e-18,1.0,100.0,RQ2,sd15,mclip_score,ar,1.5586239380383634e-17
3.1153080099999926,2.345084912999995,3.929661386999999,2.39952611388258,3.9966794578989853,521.0,5.5634556953558915e-12,0.7936633663366337,100.0,RQ2,flux,clip_score,de,2.2253822781423566e-11
2.0459355300000013,1.330334442249994,2.8500636455000086,1.395075987000162,2.967972305088593,1022.0,2.3686273843043898e-07,0.5952475247524752,100.0,RQ2,flux,clip_score,fr,9.474509537217559e-07
3.6170482300000018,2.7608378252499963,4.515720740250002,2.7831413135072913,4.54408663678517,579.0,2.2168074241185726e-11,0.7706930693069307,100.0,RQ2,flux,clip_score,es,8.86722969647429e-11
17.42399965,16.350803618749996,18.515373135999997,16.34726487742628,18.51131995674669,0.0,3.8965598450959084e-18,1.0,100.0,RQ2,flux,clip_score,ar,1.5586239380383634e-17
0.028684849999999984,0.02088029575000011,0.03674932224999994,0.021545141462269754,0.0376022934321309,651.0,1.1681027180135773e-10,0.7421782178217822,100.0,RQ2,flux,mclip_score,de,4.672410872054309e-10
0.019522160000000066,0.013256337500000145,0.026584100250000044,0.013788205557843611,0.02739196126249797,918.0,3.287582040340729e-08,0.6364356435643564,100.0,RQ2,flux,mclip_score,fr,1.3150328161362915e-07
0.03405401000000002,0.02630394299999996,0.04201692250000008,0.026568329454235894,0.042239669285070405,554.0,1.2274930437817311e-11,0.7805940594059406,100.0,RQ2,flux,mclip_score,es,4.9099721751269244e-11
0.14735609,0.137413067,0.157503721,0.13750153567814988,0.15755428053618142,0.0,3.8965598450959084e-18,1.0,100.0,RQ2,flux,mclip_score,ar,1.5586239380383634e-17
0.8582744300000051,-0.18925862749999742,1.8915449395000035,-0.21256577760906914,1.8737662718548354,,,,,RQ4,sd15_vs_flux,clip_score,de,
1.0121689399999987,-0.057945284000003185,2.053408380499999,-0.07236911427209801,2.04002149754573,,,,,RQ4,sd15_vs_flux,clip_score,fr,
0.2548148500000025,-0.9312577117499997,1.4272774344999948,-0.9173863905087112,1.4426314895785008,,,,,RQ4,sd15_vs_flux,clip_score,es,
-3.6043027100000025,-4.8476604827499985,-2.3820905752500057,-4.895581795749487,-2.427082251069563,,,,,RQ4,sd15_vs_flux,clip_score,ar,
0.005362689999999948,-0.004608911249999973,0.015297101749999969,-0.00502030355722581,0.014895590955100447,,,,,RQ4,sd15_vs_flux,mclip_score,de,
0.004992179999999902,-0.004992277250000043,0.014706117999999994,-0.005094290682460736,0.014539184664613635,,,,,RQ4,sd15_vs_flux,mclip_score,fr,
0.0004544199999999554,-0.009896815250000048,0.010964510000000047,-0.00960856262261126,0.011248582548084472,,,,,RQ4,sd15_vs_flux,mclip_score,es,
-0.03389403000000002,-0.045170313999999934,-0.023079268999999947,-0.04562711059274369,-0.02334910887194771,,,,,RQ4,sd15_vs_flux,mclip_score,ar,
